"miner_id","location","month_num_one_indexed","first_record_timestamp","start_height","end_height","num_power_claim_records","sealingE_upper_MWh","storageE_upper_MWh","totalE_upper_MWh","recs_to_source"
"f0763337","sanDiego_california_usa",7,"2021-07-01T23:10:30.000Z",893520,982799,64,44.155287459856375,3.714210505235733,92.38813107262779,93
"f0763337","sanDiego_california_usa",8,"2021-08-02T01:53:30.000Z",982800,1072079,88,56.785377528119284,10.33203364990147,129.5366035735801,130
"f0828066","sanDiego_california_usa",5,"2021-05-23T12:43:30.000Z",717840,807119,16,1.2506944765952,0.0208233888972433,2.4540294804004157,3
"f0828066","sanDiego_california_usa",6,"2021-06-01T12:44:00.000Z",807120,893519,38,6.399707429470209,0.6176321974773271,13.543465480008742,14
"f0828066","sanDiego_california_usa",7,"2021-08-01T03:59:30.000Z",893520,982799,0,0,0.8232925365484389,1.588954595538487,2
"f0828066","sanDiego_california_usa",8,"2021-08-14T13:10:30.000Z",982800,1072079,10,0,0.8232925365484388,1.5889545955384872,2
"f098770","mississauga_ontario_canada",12,"2020-12-14T07:36:00.000Z",283080,372359,28,0.373284197629952,0.011683317527756145,0.7429873042543766,1
"f098770","mississauga_ontario_canada",1,"2021-01-09T07:37:00.000Z",372360,461639,37,1.0486592149913605,0.07380622039402414,2.1663582902937915,3
"f098770","mississauga_ontario_canada",2,"2021-02-01T07:48:30.000Z",461640,542279,63,2.0953942846341134,0.2421301516642654,4.511422162055869,5
"f098770","mississauga_ontario_canada",3,"2021-03-01T07:53:00.000Z",542280,631439,49,1.7259583777013763,0.48742932665132394,4.27183826940071,5
"f098770","mississauga_ontario_canada",4,"2021-04-01T07:58:00.000Z",631440,717839,55,1.2083632789258247,0.6150375722573838,3.51916364278359,4
"f098770","mississauga_ontario_canada",5,"2021-05-01T08:11:30.000Z",717840,807119,21,0.5060502266839042,0.74157760280336,2.4079217109104194,3
"f098770","mississauga_ontario_canada",6,"2021-07-01T03:59:30.000Z",807120,893519,0,0,0.7245957548904284,1.3984698069385268,2
"f098770","mississauga_ontario_canada",7,"2021-07-04T07:58:00.000Z",893520,982799,17,0.23474573253017597,0.7671768022320258,1.9337104920910495,2
"f098770","mississauga_ontario_canada",8,"2021-08-15T07:58:00.000Z",982800,1072079,2,0,0.7740109410508209,1.493841116228084,2
