"minerID","location_code","location","start","end","REC_purchase"
"f066104","[""AS-CN-NORTHWEST-XJ""]","Asia - Mainland China - Northwest - Xinjiang","2020-06-01","2021-01-01",775
"f066104","[""AS-CN-NORTHWEST-XJ""]","Asia - Mainland China - Northwest - Xinjiang","2021-01-01","2021-04-01",378
"f066104","[""AS-CN-NORTHWEST-XJ""]","Asia - Mainland China - Northwest - Xinjiang","2021-04-01","2021-07-01",998
"f066104","[""AS-CN-NORTHWEST-XJ""]","Asia - Mainland China - Northwest - Xinjiang","2021-07-01","2021-10-01",478
"f066104","[""AS-CN-NORTHWEST-XJ""]","Asia - Mainland China - Northwest - Xinjiang","2021-10-01","2022-01-01",478
"f0432329","[""AS-CN-SOUTHWEST-GZ""]","Asia - Mainland China - Southwest - Guizhou","2021-01-01","2021-04-01",151
"f0432329","[""AS-CN-SOUTHWEST-GZ""]","Asia - Mainland China - Southwest - Guizhou","2021-04-01","2021-07-01",672
"f0432329","[""AS-CN-SOUTHWEST-GZ""]","Asia - Mainland China - Southwest - Guizhou","2021-07-01","2021-10-01",1053
"f0432329","[""AS-CN-SOUTHWEST-GZ""]","Asia - Mainland China - Southwest - Guizhou","2021-10-01","2022-01-01",569
"f01168321","[""AS-CN-EAST-FJ""]","Asia - Mainland China - East - Fujian","2021-07-01","2021-10-01",1649
"f01168321","[""AS-CN-EAST-FJ""]","Asia - Mainland China - East - Fujian","2021-10-01","2022-01-01",477
"f03362","[""EU-WEST-DE""]","Europe - Western Europe - Germany","2020-06-01","2021-01-01",1382
"f03362","[""EU-WEST-DE""]","Europe - Western Europe - Germany","2021-01-01","2021-04-01",738
"f03362","[""EU-WEST-DE""]","Europe - Western Europe - Germany","2021-04-01","2021-07-01",467
"f03362","[""EU-WEST-DE""]","Europe - Western Europe - Germany","2021-07-01","2021-10-01",472
"f094614","[""AS-CN-NORTHWEST-XJ""]","Asia - Mainland China - Northwest - Xinjiang","2020-06-01","2021-01-01",23
"f094614","[""AS-CN-NORTHWEST-XJ""]","Asia - Mainland China - Northwest - Xinjiang","2021-07-01","2021-10-01",1730
"f094614","[""AS-CN-NORTHWEST-XJ""]","Asia - Mainland China - Northwest - Xinjiang","2021-10-01","2022-01-01",466
"f01149873","[""AS-HK""]","Asia - Hong Kong","2021-07-01","2021-10-01",1696
"f01149873","[""AS-HK""]","Asia - Hong Kong","2021-10-01","2022-01-01",459
"f024015","[""AS-CN-NORTHWEST-XJ""]","Asia - Mainland China - Northwest - Xinjiang","2020-06-01","2021-01-01",553
"f024015","[""AS-CN-NORTHWEST-XJ""]","Asia - Mainland China - Northwest - Xinjiang","2021-01-01","2021-04-01",545
"f024015","[""AS-CN-NORTHWEST-XJ""]","Asia - Mainland China - Northwest - Xinjiang","2021-04-01","2021-07-01",528
"f024015","[""AS-CN-NORTHWEST-XJ""]","Asia - Mainland China - Northwest - Xinjiang","2021-07-01","2021-10-01",766
"f024015","[""AS-CN-NORTHWEST-XJ""]","Asia - Mainland China - Northwest - Xinjiang","2021-10-01","2022-01-01",463
"f01153105","[""AS-CN-EAST-FJ""]","Asia - Mainland China - East - Fujian","2021-07-01","2021-10-01",514
"f01153105","[""AS-CN-EAST-FJ""]","Asia - Mainland China - East - Fujian","2021-10-01","2022-01-01",1749
"f0103710","[""AS-CN-SOUTHWEST-GZ""]","Asia - Mainland China - Southwest - Guizhou","2020-06-01","2021-01-01",281
"f0103710","[""AS-CN-SOUTHWEST-GZ""]","Asia - Mainland China - Southwest - Guizhou","2021-01-01","2021-04-01",408
"f0103710","[""AS-CN-SOUTHWEST-GZ""]","Asia - Mainland China - Southwest - Guizhou","2021-04-01","2021-07-01",335
"f0103710","[""AS-CN-SOUTHWEST-GZ""]","Asia - Mainland China - Southwest - Guizhou","2021-07-01","2021-10-01",1029
"f0103710","[""AS-CN-SOUTHWEST-GZ""]","Asia - Mainland China - Southwest - Guizhou","2021-10-01","2022-01-01",565
"f0845552","[""AS-CN-EAST-FJ""]","Asia - Mainland China - East - Fujian","2021-04-01","2021-07-01",649
"f0845552","[""AS-CN-EAST-FJ""]","Asia - Mainland China - East - Fujian","2021-07-01","2021-10-01",1139
"f0845552","[""AS-CN-EAST-FJ""]","Asia - Mainland China - East - Fujian","2021-10-01","2022-01-01",451
"f0151371","[""AS-CN-EAST-JS""]","Asia - Mainland China - East - Jiangsu","2021-01-01","2021-04-01",709
"f0151371","[""AS-CN-EAST-JS""]","Asia - Mainland China - East - Jiangsu","2021-04-01","2021-07-01",1086
"f0151371","[""AS-CN-EAST-JS""]","Asia - Mainland China - East - Jiangsu","2021-07-01","2021-10-01",444
